"knockout","k","retained_nodes","efficiency_sum_before","efficiency_sum_after","D_E","LCC_after","D_LCC","components_after","disconnected_pair_fraction","in_strict","in_relax1"
"ABCG5+ACACA+DGAT1",3,1223,262208.133334901,262033.70238252,0.000665238526977419,1223,0,1,0,FALSE,FALSE
"ABCG5+ACACA+FASN",3,1223,262161.150001568,262034.64285871,0.000482554882208164,1223,0,1,0,FALSE,TRUE
"ABCG5+ACACA+NR1H4",3,1223,262179.200001568,262104.576192044,0.000284629022911598,1223,0,1,0,FALSE,TRUE
"ABCG5+ACLY+APOB",3,1223,262107.600001569,261991.345239662,0.000443538309861435,1223,0,1,0,FALSE,FALSE
"ABCG5+ACLY+CYP7A1",3,1223,262160.300001569,262037.171430139,0.000469669020936259,1223,0,1,0,TRUE,TRUE
"ABCG5+ACLY+FASN",3,1223,262142.266668235,262000.876192043,0.000539365429274796,1223,0,1,0,TRUE,TRUE
"ABCG5+ACLY+NR1H4",3,1223,262160.316668235,262070.709525377,0.000341802847955042,1223,0,1,0,TRUE,TRUE
"ABCG5+ADIPOQ+CEBPA",3,1223,262048.866668235,262009.783334901,0.000149145210322055,1223,0,1,0,FALSE,FALSE
"ABCG5+ADIPOQ+CYP7A1",3,1223,262109.700001569,262015.421430139,0.000359691272124985,1223,0,1,0,FALSE,FALSE
"ABCG5+ADIPOQ+FASN",3,1223,262091.666668235,261983.276192043,0.000413559414421449,1223,0,1,0,FALSE,FALSE
"ABCG5+ADIPOQ+LPL",3,1223,262078.933334902,261932.809525376,0.000557556487529642,1223,0,1,0,FALSE,FALSE
"ABCG5+ADIPOQ+NR1H4",3,1223,262109.716668236,262048.709525378,0.000232754220764742,1223,0,1,0,FALSE,FALSE
"ABCG5+ADIPOQ+RXRA",3,1223,262089.150001569,262034.100001568,0.000210043033071483,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+CEBPA",3,1223,262051.916668235,261951.978572995,0.000381367541631983,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+COL1A2",3,1223,262117.200001569,262035.378572996,0.000312155892752797,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+CYP11B2",3,1223,262142.950001569,262035.254763472,0.000410826375823237,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+CYP51A1",3,1223,262175.183334902,262086.445239664,0.000338468706723938,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+DGAT1",3,1223,262141.700001569,261909.447620614,0.000885980295977196,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+FABP4",3,1223,262102.616668235,262000.528572995,0.000389496665608946,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+HNF4A",3,1223,262065.883334902,261955.428572995,0.0004214770747758,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+NCOA2",3,1223,262114.900001569,262025.811906329,0.000339881842806311,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+NR1I2",3,1223,262126.300001569,262013.878572996,0.000428882674393893,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+RXRA",3,1223,262092.200001569,261974.928572995,0.00044744341332259,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+SQLE",3,1223,262171.600001568,262065.907144424,0.000403143807885864,1223,0,1,0,FALSE,FALSE
"ABCG5+APOB+THBS1",3,1223,262075.683334903,261976.378572996,0.000378916352111514,1223,0,1,0,FALSE,FALSE
"ABCG5+C3+CYP7A1",3,1223,262164.466668235,262065.338096806,0.000378115969297488,1223,0,1,0,FALSE,FALSE
"ABCG5+C3+F2",3,1223,262147.466668235,262085.7333349,0.000235490863669585,1223,0,1,0,FALSE,FALSE
"ABCG5+C3+MPO",3,1223,262148.383334902,262056.285715852,0.000351318661125144,1223,0,1,0,FALSE,FALSE
"ABCG5+C3+PLG",3,1223,262155.683334902,262008.895239662,0.000559927190489362,1223,0,1,0,FALSE,FALSE
"ABCG5+CALR+CYP7A1",3,1223,262128.433334902,262029.997620615,0.000375524749585354,1223,0,1,0,FALSE,FALSE
"ABCG5+CALR+THBS1",3,1223,262091.366668237,262050.659525379,0.000155316611056056,1223,0,1,0,FALSE,FALSE
"ABCG5+CANX+CYP7A1",3,1223,262167.316668235,262074.930953949,0.000352392187786044,1223,0,1,0,TRUE,TRUE
"ABCG5+CEBPA+CYP7A1",3,1223,262104.616668236,261997.371430139,0.000409169588312497,1223,0,1,0,FALSE,FALSE
"ABCG5+CEBPA+FABP4",3,1223,262094.483334902,262040.050001568,0.000207685917847811,1223,0,1,0,FALSE,FALSE
"ABCG5+CEBPA+HNF4A",3,1223,262057.750001569,261995.316668234,0.00023824265198813,1223,0,1,0,FALSE,FALSE
"ABCG5+CEBPA+LPL",3,1223,262073.850001568,261923.159525376,0.000574992416037312,1223,0,1,0,FALSE,FALSE
"ABCG5+CEBPA+NR1H4",3,1223,262104.633334902,262030.659525377,0.000282230071951384,1223,0,1,0,FALSE,FALSE
"ABCG5+CEBPA+RXRA",3,1223,262084.066668236,262014.683334901,0.000264736938102472,1223,0,1,0,FALSE,FALSE
"ABCG5+COL1A2+CYP7A1",3,1223,262169.900001569,262081.188096806,0.000338375628789134,1223,0,1,0,FALSE,FALSE
"ABCG5+CYP11B2+CYP7A1",3,1223,262195.650001568,262080.247620615,0.000440138426981096,1223,0,1,0,TRUE,TRUE
"ABCG5+CYP51A1+CYP7A1",3,1223,262227.883334901,262130.638096807,0.000370842478142897,1223,0,1,0,FALSE,TRUE
"ABCG5+CYP51A1+NR1H4",3,1223,262227.900001567,262165.209525378,0.000239068673426712,1223,0,1,0,FALSE,TRUE
"ABCG5+CYP7A1+DGAT1",3,1223,262194.400001568,261947.32381109,0.000942339693283611,1223,0,1,0,FALSE,FALSE
"ABCG5+CYP7A1+F2",3,1223,262148.450001569,262027.204763471,0.000462506027010923,1223,0,1,0,FALSE,FALSE
"ABCG5+CYP7A1+FABP4",3,1223,262155.316668235,262046.088096805,0.000416655945865707,1223,0,1,0,FALSE,TRUE
"ABCG5+CYP7A1+FASN",3,1223,262147.416668235,261969.430953947,0.000678952768447205,1223,0,1,0,FALSE,FALSE
"ABCG5+CYP7A1+GCK",3,1223,262171.883334902,262029.0333349,0.000544871548330716,1223,0,1,0,FALSE,TRUE
"ABCG5+CYP7A1+LPL",3,1223,262134.683334902,261920.56428728,0.000816828375772682,1223,0,1,0,FALSE,FALSE
