"gene","D_E"
"CFTR",0.0016454631474554
"TUBB",9.46648821914531e-05
"AKT2",0
"FGF23",3.30120362362907e-05
"NPY",0.00176406997837464
"EIF2S1",0.000154093216422013
"PPP2CA",7.26920525182528e-05
"OAT",1.90631784585671e-05
"CAMK4",2.51459853470859e-05
"TNFSF11",0.000114553191213895
"CACNG1",1.98775935933426e-07
"CYP7A1",0.000424550950295255
"PPIA",2.21053432279961e-05
"RB1",5.2624304582527e-05
"CXCR4",0.000428069897964845
"CYP21A2",4.62500933884336e-07
"TG",6.47542856743177e-05
"CD86",9.5520003984273e-07
"HMGCR",0.000204196352533104
"TGFB1",0.000183637398388559
"NFATC4",0
"IMPDH1",4.63390513066875e-05
"OPRD1",0
"CCL22",1.46333522854647e-07
"PRKCA",0.00042929079070575
"CYP11B2",0.000146245718010807
"ELOVL6",0
"GLA",1.20223857513757e-05
"IL17A",1.32676675423937e-07
"PLD1",9.59758222685014e-06
"DHCR7",0.000122395729530322
"AKR1C3",0.000217077561732171
"IDO1",0.000526138228844286
"ATF7",0.00121394467698621
"ALDH1A2",3.40837061907351e-08
"FASN",0.000244147170824549
"PRKCD",4.08237294331482e-05
"NOD2",1.62534711005691e-05
"CBR1",7.30106739482705e-05
"ACSS2",0.000101938274205016
"ARF6",3.51189112013373e-07
"CACNA1E",0
"DMP1",5.89528666905537e-06
"AGTR1",6.30879717166133e-05
"MAPK9",4.50601754109492e-06
"CALM2",0
"ALDH2",8.25839603945111e-05
"CAMP",0.00127853339974016
"CYP1A2",7.23312894034267e-05
"TIGAR",1.26458603511015e-05
"CX3CR1",0
"MITF",5.44024374032892e-05
"ACSL1",4.33922310644208e-05
"CD163",2.63601515246847e-05
"DUOX2",0.00119978661650144
"PRDX2",1.21760083793276e-07
"CYP27B1",6.54316801166344e-05
"PRDX5",0
"CES1",0.000123785018164013
"CACNA1G",4.67428035962891e-05
"GSK3A",1.25380995619206e-06
"AADAT",4.35230430695377e-06
"RUNX2",0.000352317962989623
"CHRNA3",2.76097717646362e-05
"S100A8",7.27708417355144e-05
"CYP2C9",0.000139158093653835
"LBP",4.74961524121742e-06
"CYP2D6",2.38045457330305e-05
"CACNA1H",4.93066583525659e-05
"ABCC2",3.7267007979791e-05
"MGLL",0.000288590927817967
"ADH4",1.1612979102793e-06
"SELE",3.74314448414736e-06
"SLC18A2",2.07343454549092e-05
"CASQ1",1.54327290036171e-06
"SMAD1",0
"JUNB",0
"PTPN1",3.07152844891689e-06
"LEF1",5.88425287351146e-06
"NFE2L2",0.000152506478710235
"EIF2A",0
"SREBF2",0.000243957241534809
"AOX1",0.00083311477515513
"ATP1A2",3.78298798562327e-05
"KCNH2",0.000422534476057779
"TRPM7",6.46008626592476e-08
"DRD4",1.5095568012824e-05
"PTGER1",1.00651531387275e-06
"METTL3",0
"HTR2B",3.54405950242498e-06
"ALDOA",1.73278567181523e-05
"BMI1",1.72741337306492e-05
"ELOVL2",0
"AKR1D1",0.00104359117608721
"IL5",4.59636788963103e-07
"ADCY1",6.35180631620713e-05
"ACTA1",5.91327292269739e-05
"SCD",0.000207289484244089
"COL3A1",9.83263130915901e-07
"NFATC2",4.20716472495641e-05
"KCNMB4",0
"CAMKK2",1.20383251216438e-05
"CYP2A6",0.00039111592151031
"ABAT",8.43512791648404e-06
"HK2",0.000240369825768694
"PTX3",0
"CDKN1C",4.51548623625619e-06
"PTGS2",0.0018491044639648
"TPMT",8.08139190985324e-05
"SCN2B",0
"ITPR1",0.000244738016069945
"GSTP1",0.00178051943951985
"PKD2",2.64933169413784e-06
"CYP3A5",1.73845519089166e-05
"PCYT1A",1.94335444980709e-05
"SIGMAR1",0.00016467240771556
"COX7B",0
"CYP1B1",6.89981434598419e-06
"GABRA4",0
"HCN2",0
"RYR2",8.00783320793474e-05
"TOP2A",3.58575097173519e-05
"FGFR2",1.73338679548829e-05
"ACTR2",2.24666949816266e-05
"AFP",2.72811177496335e-05
"CYP2C8",2.20366734138278e-06
"RYR1",0.000100392678703431
"ITPR3",2.50385200565306e-05
"MB",5.54937499840369e-05
"AANAT",1.01542480637207e-05
"CPS1",1.22878193927756e-05
"GLP1R",3.41350700072685e-06
"CLIP1",4.37036542288993e-07
"AURKC",0
"HSD3B2",1.6850259747736e-05
"ABCC1",0
"SYK",9.66505695134678e-05
"CP",4.66466506423568e-05
"FADS2",2.2810842462806e-05
"POMC",0.00154406002016871
"LPL",0.000566635668973969
"LPCAT2",7.25734348838714e-07
"HSD17B2",1.06393327481413e-09
"SLC5A5",3.50457526798742e-06
"CYP7B1",5.0198593939399e-06
"GPR83",1.10097105976426e-06
"PRKCE",7.72956116379397e-05
"CCN2",8.34792652870675e-06
"PBK",1.66648492271326e-05
"JDP2",0
"FCER1A",0
"ACSL4",0
"ALDH1A1",0.000719084743052711
"MGAM",0.000191456680046054
"ADH7",1.71174840779553e-06
"HTR1A",4.55282658419209e-05
"SDHA",0.000728355075279574
"PDE4D",8.58376370616032e-06
"CRP",0.000213675187255569
"DAO",0
"SLC2A1",9.30343799422362e-05
"ESRRG",0.00112264093240733
"PDE4A",9.94559493217029e-06
"PRKCB",0.000151995546506578
"VTN",1.32829729559969e-05
"AHCYL1",2.36485314508705e-06
"BMPR2",8.99813732893051e-05
"F12",0
"MAOA",0.000148666655335861
"HDAC3",1.04553139109731e-05
"ADIPOQ",3.32160600783338e-05
"HSD3B1",7.57872549184135e-06
"ADH5",4.79421028877214e-05
"ADH6",2.22124048498973e-06
"FABP1",4.12773233577912e-05
"CSF1",5.8593835076115e-06
"SPP1",0.000210645757664718
"ABCB11",1.61133398401958e-07
"CACNB3",4.83502573644934e-07
"PTGES2",2.26061378331144e-05
"MMP13",1.5967234374803e-05
"EDN1",0.000154550402730047
"TH",0.000445141603526933
"NCOA6",0
"PTGER2",8.39083681236641e-06
"S100A7",0.00101778563013322
"PLA2G4A",0.000145033364728708
"HSD11B1",5.96013528271211e-05
"CACNB2",7.80266917854711e-06
"GSR",0.000300421466483347
"EEF2K",3.98539595125591e-06
"GCK",0.000242096535880254
"PGR",5.43611358237994e-05
"GABBR1",0.000510699360905531
"ALOX12",1.14235850786626e-05
"MAPK11",4.40437195603494e-08
"GATM",0.000641349753781717
"IMPDH2",9.70130051258788e-06
"SLC11A2",1.22809231257737e-05
"ANPEP",0.000111804321524245
"HIF1AN",2.51783330312838e-05
"RARG",0
"FBP1",5.90213916795701e-06
"AKR1B10",1.15989436824115e-05
"AKR1C4",0
"FADS1",0.000112104112548916
"TFAM",3.62872399584102e-06
"F7",0.00110842411598699
"NOTCH1",1.40453885606462e-05
"NOS1",0.000498324332666167
"CCR6",2.89418362608984e-08
"CACNB4",6.84948953928455e-05
"PRKCZ",0.00124515519558022
"GAD1",0.000696735600119291
"FABP2",0
"ADRA1A",4.3025102480776e-07
"NEIL1",5.99586013505515e-07
"GNMT",0
"PTGDS",0.000111959290102326
"ACPP",0
"SULT1E1",0
"DNAJC5",5.10851554342828e-05
"ADRB1",1.53084036556006e-05
"RAC2",9.0160043093368e-05
"AGXT2",0.00025057885786095
"TEK",0
"HSPB1",1.3118924105493e-05
"IL33",0
"RUNX3",7.26198233380604e-06
"COL11A2",6.23596587323583e-06
"HCN4",0.00108009733227277
"ITPR2",6.40821797293079e-07
"SCN11A",2.3094428796e-06
"FGB",1.39645395835775e-06
"NQO1",0.000527220227442338
"CBR3",4.6788329954861e-07
"PLD2",0.000133945997364271
"LPCAT1",1.91332402499356e-06
"HTR1B",2.42426249319472e-06
"GABRG2",0.00011218358623466
"ALDH3A1",6.32152614098436e-05
"CASR",2.65610692193885e-05
"PAPSS1",0
"DCK",7.34281063050624e-05
"FTCD",1.42037334609491e-05
"KCNQ2",0.000212062364432941
"CHRM1",6.67818868631542e-05
"SLC6A4",6.78286583016829e-05
"GABRB1",1.85617838407426e-05
"DHRS3",0
"PDE2A",4.31992103644419e-07
"RASGRF1",4.63218773005813e-06
"PPID",4.30025627651265e-06
"STAT5A",4.39596039339962e-05
"VKORC1",4.21324374467735e-05
"RAPGEF4",3.31240305593283e-05
"FABP3",1.13483670571846e-06
"STXBP1",8.67014811978262e-06
"SCN5A",0.000203932917773764
"ACTG1",1.1368143777446e-06
"GUSB",3.07626465670952e-05
"LGALS3",6.82340007829296e-06
"GPER1",4.12749782685573e-06
"MYH7",1.43897642000956e-05
"LPO",0
"CHRNA2",0
"ATF1",2.67223468175537e-06
"ATP1A1",1.76214828995214e-06
"DHRS4",3.07292251089386e-07
"CYP24A1",3.42176545521378e-05
"ACAA2",1.09830593403304e-05
"PTGS1",0.000123643265751539
"GRIA4",1.40017802346959e-05
"TPO",3.90793465061545e-05
"AKR1A1",1.31422919599222e-05
"ALDH1B1",1.0540618832211e-06
"NR3C2",1.1628339288472e-05
"KCNH6",1.83502937474156e-05
"CKB",3.86367243364605e-05
"GAA",0
"MAPK13",6.04607784726596e-07
"DRD3",0
"ADRB3",6.32431133384959e-06
"NNMT",7.17109923026316e-05
"DNM1L",7.33041407019464e-07
"ATP2A1",5.10085241278713e-06
"KCND2",4.68139933984535e-06
"SYP",3.45176331495445e-05
"CRTC2",2.18299632479546e-05
"CACNA2D3",0
"CACNA1I",6.64529203109332e-07
"RBL1",8.40375318222897e-07
"NTRK2",0.000122799933450435
"FXN",2.31663893058842e-05
"GRM5",0.000195917573052817
"DRD1",9.41601629314004e-05
"RDH11",1.21421684518008e-05
"RXRB",3.63077013892932e-05
"NDUFV3",0
"GK",0.000420519698153154
"SLC11A1",0
"ATP1A3",4.00942975486984e-08
"ACHE",9.98315543219164e-05
"APOD",0.00190239903453848
"RDH12",1.99532240672262e-05
"AGTR2",0
"PPP2CB",6.59196330854428e-09
"GSS",2.70673609743532e-05
"CHRNA10",0
"RAB5A",9.32591880731248e-06
"KCNJ2",0.0011427964324835
"APCS",0.00110713785796257
"SLC10A1",0.000121448875280539
"PEMT",1.63502203502919e-05
"SREBF1",0.000299560969175494
"CYP26C1",0
"RUNX1T1",0
"ATF5",4.12097937161349e-05
"MYB",0
"ESRRB",1.4738056039465e-05
"ATP2B3",0
"KCNJ5",7.55858324481551e-05
"ATOX1",0
"TJP1",0.000451089899453305
"AIFM1",2.55365593515577e-06
"FSHR",1.02530398137235e-05
"TAT",4.35317547008429e-05
"ALAS1",4.96355304249185e-05
"CHRM3",0
"LIPG",0
"CYP27C1",0
"ADCY2",5.46944680768213e-07
"SLCO1B1",4.01611329957641e-05
"CAMK2G",0
"GSTM3",0
"ALAS2",0.00014028159234114
"FOXM1",2.80105936500963e-06
"MUC5AC",6.90432049643697e-07
"HDAC7",6.22551732099019e-06
"DGAT1",0.000493306916917735
"TNFRSF9",7.8153686633442e-08
"NNT",0
"CD83",0
"HCRTR1",0
"SLC2A2",5.42474343930843e-05
"SH3BP5",6.52836211645358e-07
"IL1RN",0
"HTR6",7.27462475538232e-05
"KCNJ14",0
"PLA2G2A",2.9893313580942e-05
"CACNG3",5.37038817638447e-07
"CHRNA7",4.70071108619186e-05
"KCNN2",6.74821585977536e-06
"CRTC1",0
"KCNN4",1.01097761602276e-05
"ANXA5",1.04974812612513e-05
"MDH2",0.000111171568050628
"FTL",4.86390818077442e-06
"MECP2",0.000548125381643505
"HTR1D",1.68174325576587e-08
"CPT1A",2.31070451811588e-05
"ABCB1",1.29987424931644e-05
"QPRT",1.98227046184218e-05
"ATP1A4",0
"CCK",2.06336854999822e-05
"CAT",1.60331191455532e-05
"EREG",0
"CHRNA9",1.95699862648446e-05
"LYZ",0
"MCL1",7.58111282794793e-06
"DRD5",0.00109125683776934
"RPS6KB1",4.85287973774895e-05
"GABRA2",3.25458105590037e-05
"PLA2G7",0.000164345021160472
"KCNA4",3.19650177960096e-05
"PPP3R1",1.45458302913681e-06
"CD55",1.18774457361637e-05
"VIM",3.780214284832e-05
"ASPA",0
"CACNG4",5.86700860738532e-06
"SNAI2",1.09795873737273e-06
"ABCG8",1.54286254661073e-07
"HTR2C",1.48637991650435e-05
"NPR1",9.07363515141313e-05
"ZEB1",7.29644032748666e-07
"SLC29A1",0.000990951407719987
"GABRR1",0.000843985992964869
"PCYT1B",0
"NOS2",4.11332897526373e-05
"GPT2",0.000128569127526679
"THBD",7.51003140264661e-06
"PRKCG",2.14466149301984e-05
"TNFRSF10B",2.52593901350906e-09
"GSTA2",3.26595652069273e-05
"EPHB6",0
"RBP1",1.90104055208806e-05
"CRYZ",0
"TFR2",2.62260901195965e-06
"KCNJ9",0
"CTSK",0.000203427100728071
