gene1,gene2,gene3
HK2,ITPR1,ITPR3
HK2,KEAP1,NQO1
HK2,NANOG,POU5F1
HK2,PRDX1,SOD2
HK2,PRKCZ,RAC2
HK2,SIRT3,SOD2
HPRT1,MDH2,PNP
HPRT1,NQO1,PNP
HPRT1,PNP,TFRC
HPRT1,PNP,TYMS
HTR2A,HTR3A,MAOB
HTR2A,HTR3A,NOS1
HTR2A,HTR3A,TRPV1
HTR2A,MGLL,TPH1
HTR2A,OPRM1,TRPV1
HTR2A,RASA1,SLC6A3
HTR3A,MAOA,MAOB
HTR3A,MAOB,TPH1
ITGA5,NRP1,THBS1
ITPR1,ITPR3,KEAP1
ITPR1,ITPR3,MB
ITPR1,ITPR3,MT-CYB
ITPR1,ITPR3,NOS2
ITPR1,ITPR3,NPPA
ITPR1,ITPR3,NRP1
ITPR1,ITPR3,OPRM1
ITPR1,ITPR3,PLD2
ITPR1,ITPR3,PRDX1
ITPR1,ITPR3,PRKCZ
ITPR1,ITPR3,PYGM
ITPR1,ITPR3,RASA1
ITPR1,ITPR3,SOX9
ITPR1,ITPR3,SQLE
ITPR3,PLA2G4A,PLD2
KEAP1,NOS2,NQO1
KEAP1,NQO1,NRP1
KEAP1,NQO1,PRKCZ
KEAP1,NQO1,RASA1
KEAP1,NQO1,RRM1
KEAP1,NQO1,TFRC
KEAP1,RRM1,TYMS
MAOA,MAOB,MDH2
MAOA,MAOB,NR1I2
MAP3K5,MDH2,PRDX1
MDH2,NANOG,POU5F1
MDH2,PNP,SIRT3
MT-CYB,NCF2,NRP1
MT-CYB,NCF2,PRKCZ
MT-CYB,PLA2G2A,PLA2G4A
MT-CYB,PLA2G2A,PLD2
MT-CYB,PLA2G4A,PLD2
MT-CYB,PLD2,PTGS1
NANOG,NQO1,POU5F1
NANOG,NR1I2,POU5F1
NANOG,NRP1,POU5F1
NANOG,POU5F1,PRKCZ
NANOG,POU5F1,RARA
NCF2,PLA2G2A,PLA2G4A
NCF2,PLA2G2A,PLD2
NCF2,PLA2G2A,PTGS1
NCF2,PLA2G2A,RAC2
NCF2,PLA2G4A,PLD2
NCF2,PLA2G4A,PTGS1
NCF2,PLA2G4A,RAC2
NCOA2,NR1H4,NR1I2
NCOA2,NR1H4,SIRT3
NCOA2,NR1I2,RARA
NCOA2,RARA,SIRT3
NCOA2,RXRA,SIRT3
NFATC1,PLA2G2A,PLA2G4A
NOS2,PLA2G2A,PLA2G4A
NOS2,PLA2G2A,PTGS1
NOS2,PLA2G4A,PTGS1
NOS2,PRDX1,SOD2
NQO1,PNP,SIRT3
NR1I2,SIRT3,SOD2
PLA2G2A,PLA2G4A,PRKCZ
PLA2G2A,PLA2G4A,RAC2
PLA2G2A,PLD2,PRKCG
PLA2G2A,PLD2,PRKCZ
PLA2G2A,PRKCZ,RAC2
PLA2G2A,PTGS1,RAC2
PLA2G4A,PLD2,PRKCZ
PLA2G4A,PLD2,RASA1
PLD2,RAC2,RASA1
PNP,RRM1,TYMS
PRDX1,PRKCZ,RAC2
PRDX1,RRM1,SOD2
PRDX1,RRM1,TYMS
